Player_name,Player_rate,Player_pos
Bruno Fernandes,88,CM
Aubameyang,85,CM
Rashford,85,LW
Werner,84,ST
Foden,84,CM
Stones,83,CB
Rüdiger,83,CB
Wan-Bissaka,83,RB
Areola,82,GK
Gomez,82,CB
Pulisic,82,LW
Bailey,82,RM
Lucas Moura,81,RW
Martial,81,ST
Politano,81,RM
Aouar,81,CM
Reguilón,81,LB
Haller,80,ST
Zinchenko,80,LB
Baku,80,RM
Wilson,79,ST
Bakayoko,79,CDM
Lacroix,79,CB
Felipe Anderson,78,LM
Adama Traoré,78,RW
Roussillon,77,LB
Ansu Fati,76,LW
Timber,75,CB
Joaquín,81,RM
Silvestri,79,GK
Kobel,79,GK
Saïss,78,CB
Gouiri,78,ST
Guirassy,77,ST
Marcão,77,CB
González,77,ST
Davis,76,CM
Đuričić,76,CAM
Delaine,76,LWB
Niang,76,ST
Salisu,76,CB
Gabriel Martinelli,76,LM
Vesga,75,CM
Diego Farías,75,LW
Ayhan,75,CB
Skipp,75,CDM
Bounou,84,GK
Rodri,86,CDM
Shaw,84,LB
Morata,83,ST
Ocampos,83,LW
Lemar,83,LM
Kramarić,83,ST
Gosens,83,LM
Koundé,83,CB
João Félix,83,CF
Rui Patrício,82,GK
Stindl,82,CAM
Süle,82,CB
Palhinha,82,CDM
Mario Hermoso,82,CB
Unai Simón,82,GK
Yılmaz,81,ST
José Fonte,81,CB
Ings,81,ST
Danilo,81,RB
Aitor,81,GK
Pizzi,81,CM
Nkunku,81,CAM
Hinteregger,80,CB
Hateboer,80,RM
Lemar,83,LM
Kramarić,83,ST
Gosens,83,LM
Koundé,83,CB
João Félix,83,CF
Rui Patrício,82,GK
Stindl,82,CAM
Süle,82,CB
Palhinha,82,CDM
Mario Hermoso,82,CB
Unai Simón,82,GK
Yılmaz,81,ST
José Fonte,81,CB
Ings,81,ST
Danilo,81,RB
Aitor,81,GK
Pizzi,81,CM
Nkunku,81,CAM
Hinteregger,80,CB
Hateboer,80,RM
Doucouré,79,CM
Traoré,79,RB
Sánchez,79,CB
Ávila,79,ST
Lucas Veríssimo,79,CB
Bruno Guimarães,79,CDM
Capoue,78,CM
Jaume Costa,78,LB
Dembélé,78,ST
Alario,78,ST
Iheanacho,78,ST
Calabria,78,RB
Lunev,78,GK
Endo,78,CDM
Barák,78,CF
Rodríguez,78,RB
Vida,78,CB
Ortega,78,GK
Daniel Podence,78,LW
Brahim,78,CAM
Nwakaeme,78,LW
Valeri,77,CAM
Luiz Gustavo,77,CDM
Toprak,77,CB
Meunier,77,RB
Luís Neto,77,CB
Lazaro,77,RM
Santi Mina,77,ST
Cuéllar,77,CDM
Ferhat,77,LM
Bernardoni,77,GK
Skhiri,77,CDM
Álvarez,77,CDM
Ünder,77,RM
Xeka,77,CDM
Oršić,77,LM
Ito,77,RW
Jarstein,76,GK
Clichy,76,LB
Walcott,76,RM
Criscito,76,CB
Strootman,76,CM
Gonalons,76,CDM
Lowton,76,RB
Knoche,76,CB
Hughes,76,CM
Gabriel,76,CM
Fei Nanduo,76,RM
O'Connell,76,CB
Tait,76,LM
Malsa,76,CM
Normann,76,CDM
Bustinza,76,CB
Martínez Quarta,76,CB
Meneses,76,LM
Mangala,76,CM
Gueye,76,CDM
Loren,76,ST
Riqui Puig,76,CM
Masopust,76,RM
Paulo Otávio,76,LB
Kempf,76,CB
Rúben Vezo,76,CB
Boadu,76,ST
Babin,75,CB
Cairney,75,CAM
Gauld,75,CAM
Niederlechner,75,ST
Simeone,75,ST
Wu Lei,75,ST
Posch,75,CB
Rúben Lameiras,75,RW
Minamino,75,RW
García,75,RW
Iván Alejo,75,RM
Sadiq,75,ST
Edouard,75,ST
Calero,75,CB
Martín,75,RB
Boudaoui,75,CM
Paulo Otávio,76,LB
Kempf,76,CB
Rúben Vezo,76,CB
Boadu,76,ST
Babin,75,CB
Cairney,75,CAM
Gauld,75,CAM
Niederlechner,75,ST
Simeone,75,ST
Wu Lei,75,ST
Posch,75,CB
Rúben Lameiras,75,RW
Minamino,75,RW
García,75,RW
Iván Alejo,75,RM
Sadiq,75,ST
Edouard,75,ST
Calero,75,CB
Martín,75,RB
Boudaoui,75,CM
Paulo Otávio,76,LB
Kempf,76,CB
Rúben Vezo,76,CB
Boadu,76,ST
Babin,75,CB
Cairney,75,CAM
Gauld,75,CAM
Niederlechner,75,ST
Simeone,75,ST
Wu Lei,75,ST
Posch,75,CB
Rúben Lameiras,75,RW
Minamino,75,RW
García,75,RW
Iván Alejo,75,RM
Sadiq,75,ST
Edouard,75,ST
Calero,75,CB
Martín,75,RB
Boudaoui,75,CM
Daniliuc,73,CB
Longstaff,72,CM
Pekhart,72,ST
Goldaniga,71,CB
de Jong,69,CAM
Júnior Morais,69,LB
Raphael Silva,68,CB
Jacob,68,LM
Li Shuai,67,LB
John,67,LB
Emanuelson,66,CM
Wiles,66,CM
Fraser,65,CDM
Simms,65,ST
Jendrusch,64,GK
Eilers,64,ST
Víctor Mongil,63,CB
Smith,63,CDM
Aaquist,62,CM
Maguire,62,LB
Takahashi,62,CM
Taylor,62,CDM
Pablo Valencia,62,GK
Awad,60,ST
Carter,60,CM
Buștea,60,RB
Takamine,59,CDM
Ćubelić,59,CAM
Szcześniak,59,RB
Beifus,59,CB
Custovic,58,CM
Hansen,56,RW
Mikelbrencis,56,RB
Zhao Xuebin,53,ST
Fenlon,53,CM
Pan Ximing,51,CB
Salihovic,50,CM
Heaney,50,LW
